100000	14550.7	13059
110000	14476	14402
120000	15851	15830.3
130000	17344.3	17130
140000	18560.3	18405
150000	20033.7	20054.7
160000	21241.3	21392
170000	22760	22792
180000	24327.3	24112.7
190000	25993.3	26076.7
200000	27801.7	27997.3
210000	29300.7	29331.7
220000	31294.7	31165.7
230000	32843.3	32819.7
240000	35083	34426
250000	34902.7	34814.7
260000	36430.3	35951
270000	37857	37537.3
280000	39701.7	40133.3
290000	42499.7	42254.3
300000	43205.3	42762.3
310000	44003.7	44054.3
320000	45452	45282
330000	47771.7	47200
340000	48245.3	48587.7
350000	50153.7	49841
360000	53058	53684
370000	53797	53304.7
380000	54943	54820
390000	55724.3	56366
400000	57428.7	57585
410000	59302.3	58754.3
420000	60342	60479
430000	61573.3	62008
440000	63319.7	63258
450000	65121.3	64915.7
460000	66375	66445.7
470000	68095.3	68824
480000	70649.7	70424
490000	71908.7	71572.7
